CT_CD,DO_NM,CT_NM,산업대분류CD,산업중분류CD,산업소분류CD,산업대분류명,산업중분류명,산업소분류명,조직형태,사업체구분,설립시기,소상공인수
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2008,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2013,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2014,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2000년이전,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2011,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2013,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2000년이전,7
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2003,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2005,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2010,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2011,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2014,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2000년이전,4
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2003,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2004,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2006,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2008,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2011,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2012,5
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2013,3
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2014,1
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2000년이전,112
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2001,11
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2002,11
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2003,12
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2004,16
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2005,11
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2006,17
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2007,12
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2008,23
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2009,18
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2010,26
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2011,33
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2012,35
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2013,32
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2014,45
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,2,1,2012,1
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,1,2005,1
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,1,2011,1
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2014,1
11140,서울,중구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,5,1,2014,1
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2000년이전,4
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2004,1
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2005,1
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2007,3
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2009,2
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2010,1
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2013,6
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2014,1
11140,서울,중구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,3,3,2000년이전,1
11140,서울,중구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,1,1,2012,2
11140,서울,중구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,2,1,2010,1
11140,서울,중구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,1,2000년이전,2
11140,서울,중구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,3,2000년이전,2
11140,서울,중구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,4,1,2009,1
11140,서울,중구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,4,1,2013,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2000년이전,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2006,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2009,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2010,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2012,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2013,2
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2014,2
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,2,1,2013,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2000년이전,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2007,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2010,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2013,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2000년이전,2
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2005,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2011,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2013,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2000년이전,3
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2004,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2005,2
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2008,2
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2009,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2011,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2013,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2000년이전,6
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2003,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2006,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2007,2
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2008,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2010,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2011,3
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2012,1
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2013,4
11140,서울,중구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2014,3
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2000년이전,79
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2001,11
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2002,6
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2003,6
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2004,11
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2005,4
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2006,6
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2007,2
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2008,11
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2009,10
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2010,16
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2011,7
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2012,13
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2013,14
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2014,22
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,1,2014,2
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2000년이전,1
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2014,2
11170,서울,용산구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,4,1,2009,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2000년이전,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2001,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2004,2
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2005,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2006,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2010,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2011,1
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2014,2
11170,서울,용산구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,2,1,2006,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,1,1,2008,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,1,1,2013,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,1,1,2014,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,1,2005,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,1,2010,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,2,2012,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,3,2005,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,3,2009,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,4,1,2005,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,4,1,2006,1
11170,서울,용산구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,4,1,2012,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2000년이전,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2002,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2003,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2008,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2009,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2010,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2011,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2012,3
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2013,6
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2014,3
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,2,1,2000년이전,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,2,1,2014,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2000년이전,3
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2011,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2012,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2014,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2000년이전,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2006,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2010,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,2,2013,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2005,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2006,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,3,2013,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2001,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2002,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2004,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2005,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2006,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2007,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2008,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2009,2
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2010,1
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2011,6
11170,서울,용산구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,4,1,2012,1
